sys_name,ms,dms,metal,dmetal,Mtp,dMtp,M_r,dM_r,M_gi,dM_gi,com,dcom,N_r,N_gi,n_planets
NGTS-5,0.6609999999999999,0.061,0.12,0.1,0.22899999999999998,0.037000000000000005,0.0,0.0,0.22899999999999998,0.037000000000000005,0.0382,0.013644104803493453,0,1,1
NGTS-4,0.75,0.02,-0.28,0.1,0.0648,0.009000000000000001,0.0,0.0,0.0648,0.009000000000000001,0.019,0.010277777777777778,0,1,1
WASP-82,1.63,0.08,0.12,0.11,1.24,0.04,0.0,0.0,1.24,0.04,0.0447,0.003583870967741935,0,1,1
NGTS-3A,1.0170000000000001,0.09300000000000001,0.12,0.15,2.38,0.26,0.0,0.0,2.38,0.26,0.023,0.009625210084033614,0,1,1
WASP-83,1.11,0.09,0.29,0.12,0.3,0.03,0.0,0.0,0.3,0.03,0.059000000000000004,0.012800000000000002,0,1,1
NGTS-2,1.64,0.22,-0.06,0.09,0.67,0.08900000000000001,0.0,0.0,0.67,0.08900000000000001,0.0584,0.016615223880597014,0,1,1
NGTS-14A,0.898,0.035,0.1,0.03,0.092,0.012,0.0,0.0,0.092,0.012,0.0403,0.017613043478260874,0,1,1
NGTS-13,1.3,0.18,0.25,0.17,4.84,0.44,0.0,0.0,4.84,0.44,0.05489999999999999,0.01248181818181818,0,1,1
NGTS-12,1.021,0.049,-0.03,0.11,0.20800000000000002,0.022000000000000002,0.0,0.0,0.20800000000000002,0.022000000000000002,0.0757,0.01741346153846154,0,1,1
NGTS-11,0.862,0.027999999999999997,0.22,0.08,0.37,0.14,0.0,0.0,0.37,0.14,0.19999999999999998,0.15345135135135135,0,1,1
NGTS-10,0.696,0.04,-0.02,0.12,2.162,0.107,0.0,0.0,2.162,0.107,0.0143,0.0024154486586493986,0,1,1
LTT 9779,1.0,0.03,0.25,0.08,0.09225,0.00255,0.0,0.0,0.09225,0.00255,0.01679,0.0010682276422764227,0,1,1
OGLE-TR-182,1.14,0.05,0.37,0.08,1.06,0.15,0.0,0.0,1.06,0.15,0.051,0.015433962264150941,0,1,1
WASP-52,0.87,0.03,0.03,0.12,0.46,0.02,0.0,0.0,0.46,0.02,0.0272,0.002665217391304348,0,1,1
